timestamp_sec,timestamp_iso,pid,comm,instructions,cycles,branches,branch-misses,cache-references,cache-misses,ipc
1.001082,1970-01-01T08:00:01.001082,16874,node,885348.000000,5469923.000000,187472.000000,30196.000000,330193.000000,212253.000000,0.161857
2.002256,1970-01-01T08:00:02.002256,16874,node,237707.000000,2343585.000000,52194.000000,10035.000000,113906.000000,75300.000000,0.101429
3.003444,1970-01-01T08:00:03.003444,16874,node,228322.000000,1330037.000000,52282.000000,9923.000000,72892.000000,38978.000000,0.171666
4.004645,1970-01-01T08:00:04.004645,16874,node,930272.000000,5355948.000000,198528.000000,32143.000000,341001.000000,219524.000000,0.173690
5.005807,1970-01-01T08:00:05.005807,16874,node,967858.000000,5292067.000000,208116.000000,34298.000000,363823.000000,230477.000000,0.182888
6.007029,1970-01-01T08:00:06.007029,16874,node,909091.000000,4818367.000000,193881.000000,31232.000000,347030.000000,223109.000000,0.188672
7.008180,1970-01-01T08:00:07.008180,16874,node,1116866.000000,6809019.000000,239713.000000,40157.000000,443137.000000,285816.000000,0.164027
8.009325,1970-01-01T08:00:08.009325,16874,node,1227542.000000,6715628.000000,267651.000000,43472.000000,422821.000000,262640.000000,0.182789
9.010478,1970-01-01T08:00:09.010478,16874,node,1741649.000000,7802123.000000,389950.000000,37947.000000,374043.000000,227752.000000,0.223228
10.011688,1970-01-01T08:00:10.011688,16874,node,988743.000000,5950721.000000,212312.000000,35413.000000,378204.000000,241926.000000,0.166155
11.012821,1970-01-01T08:00:11.012821,16874,node,927171.000000,5745693.000000,198342.000000,31958.000000,351987.000000,226518.000000,0.161368
12.013497,1970-01-01T08:00:12.013497,16874,node,1163932.000000,8202108.000000,250525.000000,43046.000000,458376.000000,295377.000000,0.141906
13.014644,1970-01-01T08:00:13.014644,16874,node,1239354.000000,7853041.000000,271148.000000,45064.000000,410543.000000,249516.000000,0.157818
14.015822,1970-01-01T08:00:14.015822,16874,node,947840.000000,5562428.000000,202974.000000,33411.000000,364858.000000,235784.000000,0.170400
15.016998,1970-01-01T08:00:15.016998,16874,node,966536.000000,5264305.000000,207720.000000,34464.000000,370688.000000,237047.000000,0.183602
16.018204,1970-01-01T08:00:16.018204,16874,node,932870.000000,5291844.000000,199013.000000,32165.000000,354845.000000,229759.000000,0.176284
17.019366,1970-01-01T08:00:17.019366,16874,node,1139579.000000,6937812.000000,243348.000000,40666.000000,449383.000000,290083.000000,0.164256
18.020531,1970-01-01T08:00:18.020531,16874,node,1129232.000000,5803848.000000,244766.000000,40741.000000,409910.000000,257012.000000,0.194566
19.021701,1970-01-01T08:00:19.021701,16874,node,906309.000000,4932302.000000,193497.000000,31490.000000,347904.000000,225862.000000,0.183750
20.022866,1970-01-01T08:00:20.022866,16874,node,962470.000000,5368315.000000,206137.000000,33983.000000,346037.000000,219249.000000,0.179287
